"isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast","idTeam","hasGamesPlayedFlag","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","hasHeadShot","hasThumbnail","hasAction","urlPlayerPhoto"
"0","0","Alaa Abdelnaby","76001.0","4.0","1990.0","1994.0","","0","https://stats.nba.com/player/76001","https://stats.nba.com/media/players/230x185/76001.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76001.png","https://stats.nba.com/media/players/700/76001.png","0","1","1","https://stats.nba.com/media/players/230x185/76001.png"
"0","0","Zaid Abdul-Aziz","76002.0","9.0","1968.0","1977.0","","0","https://stats.nba.com/player/76002","https://stats.nba.com/media/players/230x185/76002.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76002.png","https://stats.nba.com/media/players/700/76002.png","0","1","1","https://stats.nba.com/media/players/230x185/76002.png"
"0","0","Kareem Abdul-Jabbar","76003.0","19.0","1969.0","1988.0","","0","https://stats.nba.com/player/76003","https://stats.nba.com/media/players/230x185/76003.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76003.png","https://stats.nba.com/media/players/700/76003.png","1","1","1","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76003.png"
"0","0","Mahmoud Abdul-Rauf","51.0","10.0","1990.0","2000.0","","0","https://stats.nba.com/player/51","https://stats.nba.com/media/players/230x185/51.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/51.png","https://stats.nba.com/media/players/700/51.png","0","1","1","https://stats.nba.com/media/players/230x185/51.png"
"0","0","Tariq Abdul-Wahad","1505.0","6.0","1997.0","2003.0","","0","https://stats.nba.com/player/1505","https://stats.nba.com/media/players/230x185/1505.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1505.png","https://stats.nba.com/media/players/700/1505.png","0","1","1","https://stats.nba.com/media/players/230x185/1505.png"
"0","0","Shareef Abdur-Rahim","949.0","11.0","1996.0","2007.0","","0","https://stats.nba.com/player/949","https://stats.nba.com/media/players/230x185/949.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/949.png","https://stats.nba.com/media/players/700/949.png","1","1","1","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/949.png"
"0","0","Tom Abernethy","76005.0","4.0","1976.0","1980.0","","0","https://stats.nba.com/player/76005","https://stats.nba.com/media/players/230x185/76005.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76005.png","https://stats.nba.com/media/players/700/76005.png","0","1","1","https://stats.nba.com/media/players/230x185/76005.png"
"0","0","Forest Able","76006.0","0.0","1956.0","1956.0","","0","https://stats.nba.com/player/76006","https://stats.nba.com/media/players/230x185/76006.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76006.png","https://stats.nba.com/media/players/700/76006.png","0","1","1","https://stats.nba.com/media/players/230x185/76006.png"
"0","0","John Abramovic","76007.0","1.0","1946.0","1947.0","","0","https://stats.nba.com/player/76007","https://stats.nba.com/media/players/230x185/76007.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76007.png","https://stats.nba.com/media/players/700/76007.png","0","1","1","https://stats.nba.com/media/players/230x185/76007.png"
"0","0","Alex Abrines","203518.0","2.0","2016.0","2018.0","","0","https://stats.nba.com/player/203518","https://stats.nba.com/media/players/230x185/203518.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203518.png","https://stats.nba.com/media/players/700/203518.png","1","1","1","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203518.png"
