"yearCombine","idPlayer","nameFirst","nameLast","namePlayer","slugPosition","heightWOShoesInches","heightWOShoes","weightLBS","wingspanInches","wingspan","reachStandingInches","reachStandingO","verticalLeapStandingInches","verticalLeapMaxInches","timeLaneAgility","timeThreeQuarterCourtSprint","repsBenchPress135","pctBodyFat","heightWShoesInches","heightWShoes","lengthHandInches","widthHandInches","timeModifiedLaneAgility","setSpot15CornerLeft","setSpot15BreakLeft","setSpot15TopKey","setSpot15BreakRight","setSpot15CornerRight","setSpot15CornerLeftCollege","setSpot15BreakLeftCollege","setSpot15TopKeyCollege","setSpot15BreakRightCollege","setSpot15CornerRightCollege","setSpot15CornerLeftNBA","setSpot15BreakLeftNBA","setSpot15TopKeyNBA","setSpotBreakRightNBA","setSpotCornerRightNBA","setSpot15CornerLeftMade","setSpot15CornerLeftAttempted","setSpot15CornerLeftPct","setSpot15BreakLeftMade","setSpot15BreakLeftAttempted","setSpot15BreakLeftPct","setSpot15TopKeyMade","setSpot15TopKeyAttempted","setSpot15TopKeyPct","setSpot15BreakRightMade","setSpot15BreakRightAttempted","setSpot15BreakRightPct","setSpot15CornerRightMade","setSpot15CornerRightAttempted","setSpot15CornerRightPct","setSpot15CornerLeftCollegeMade","setSpot15CornerLeftCollegeAttempted","setSpot15CornerLeftCollegePct","setSpot15BreakLeftCollegeMade","setSpot15BreakLeftCollegeAttempted","setSpot15BreakLeftCollegePct","setSpot15TopKeyCollegeMade","setSpot15TopKeyCollegeAttempted","setSpot15TopKeyCollegePct","setSpot15BreakRightCollegeMade","setSpot15BreakRightCollegeAttempted","setSpot15BreakRightCollegePct","setSpot15CornerRightCollegeMade","setSpot15CornerRightCollegeAttempted","setSpot15CornerRightCollegePct","setSpot15CornerLeftNBAMade","setSpot15CornerLeftNBAAttempted","setSpot15CornerLeftNBAPct","setSpot15BreakLeftNBAMade","setSpot15BreakLeftNBAAttempted","setSpot15BreakLeftNBAPct","setSpot15TopKeyNBAMade","setSpot15TopKeyNBAAttempted","setSpot15TopKeyNBAPct","setSpotBreakRightNBAMade","setSpotBreakRightNBAAttempted","setSpotBreakRightNBAPct","setSpotCornerRightNBAMade","setSpotCornerRightNBAAttempted","setSpotCornerRightNBAPct","setOffDrib15BreakLeft","setSpotOffDrib15TopKey","setOffDrib15BreakRight","setOnMove15","setOnMoveCollege","setOffDrib15BreakLeftMade","setOffDrib15BreakLeftAttempted","setOffDrib15BreakLeftPct","setSpotOffDrib15TopKeyMade","setSpotOffDrib15TopKeyAttempted","setSpotOffDrib15TopKeyPct","setOffDrib15BreakRightMade","setOffDrib15BreakRightAttempted","setOffDrib15BreakRightPct","setOnMove15Made","setOnMove15Attempted","setOnMove15Pct","setOnMoveCollegeMade","setOnMoveCollegeAttempted","setOnMoveCollegePct","setOffDribBreakLeftCollege","setOffDribTopKeyCollege","setOffDribBreakRightCollege","setOffDribBreakLeftCollegeMade","setOffDribBreakLeftCollegeAttempted","setOffDribBreakLeftCollegePct","setOffDribTopKeyCollegeMade","setOffDribTopKeyCollegeAttempted","setOffDribTopKeyCollegePct","setOffDribBreakRightCollegeMade","setOffDribBreakRightCollegeAttempted","setOffDribBreakRightCollegePct"
"2001","12141.0","Jacob","Jaacks","Jacob Jaacks","PF","81.25","6' 9.25''","238.0","83.0","6' 11''","105.5","8' 9.5''","26.0","32.0","11.48","3.58","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001","2060.0","Marko","Jaric","Marko Jaric","SG-SF","78.5","6' 6.5''","210.0","81.0","6' 9''","104.0","8' 8''","27.5","33.0","11.32","3.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001","12142.0","Nate","Johnson","Nate Johnson","SF","78.5","6' 6.5''","211.5","80.5","6' 8.5''","104.0","8' 8''","27.0","33.5","11.9","3.33","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001","12143.0","Kenyon","Jones","Kenyon Jones","PF-C","81.0","6' 9''","282.0","85.0","7' 1''","108.0","9' 0''","28.5","30.0","12.44","3.6","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001","2077.0","Mark","Karcher","Mark Karcher","SG","76.0","6' 4''","218.0","80.0","6' 8''","102.5","8' 6.5''","27.5","30.5","11.51","3.4","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001","12144.0","Brandon","Kurtz","Brandon Kurtz","PF-C","81.5","6' 9.5''","257.0","83.25","6' 11.25''","106.5","8' 10.5''","","","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001","2061.0","Dan","Langhi","Dan Langhi","SF","81.0","6' 9''","197.5","80.0","6' 8''","104.0","8' 8''","31.0","34.5","10.85","3.24","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001","2090.0","Justin","Love","Justin Love","PG-SG","73.5","6' 1.5''","205.5","76.5","6' 4.5''","97.5","8' 1.5''","31.0","38.5","10.99","3.31","24.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001","2058.0","Mark","Madsen","Mark Madsen","PF","80.0","6' 8''","236.5","84.5","7' 0.5''","104.5","8' 8.5''","30.5","33.5","12.12","3.46","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001","2082.0","Dan","McClintock","Dan McClintock","C-PF","83.0","6' 11''","250.0","85.5","7' 1.5''","107.0","8' 11''","33.0","35.0","11.52","3.33","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
