"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","slugTeam","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","cityTeam","teamName","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom"
"2019.0","18.0","1.0","18.0","Goga Bitadze","IND","KK Mega Leks","Other Team/Club","1629048.0","1610612754.0","Indiana Pacers","Indiana","Pacers","1.0","PRO","Serbia"
"2019.0","19.0","1.0","19.0","Luka Samanic","SAS","KK Olimpija","Other Team/Club","1629677.0","1610612759.0","San Antonio Spurs","San Antonio","Spurs","1.0","PRO","Slovenia"
"2019.0","20.0","1.0","20.0","Matisse Thybulle","BOS","Washington","College/University","1629680.0","1610612738.0","Boston Celtics","Boston","Celtics","1.0","COL",""
"2019.0","21.0","1.0","21.0","Brandon Clarke","OKC","Gonzaga","College/University","1629634.0","1610612760.0","Oklahoma City Thunder","Oklahoma City","Thunder","1.0","COL",""
"2019.0","22.0","1.0","22.0","Grant Williams","BOS","Tennessee","College/University","1629684.0","1610612738.0","Boston Celtics","Boston","Celtics","1.0","COL",""
"2019.0","23.0","1.0","23.0","Darius Bazley","UTA","Princeton","High School","1629647.0","1610612762.0","Utah Jazz","Utah","Jazz","1.0","HS",""
"2019.0","24.0","1.0","24.0","Ty Jerome","PHI","Virginia","College/University","1629660.0","1610612755.0","Philadelphia 76ers","Philadelphia","76ers","1.0","COL",""
"2019.0","25.0","1.0","25.0","Nassir Little","POR","North Carolina","College/University","1629642.0","1610612757.0","Portland Trail Blazers","Portland","Trail Blazers","1.0","COL",""
"2019.0","26.0","1.0","26.0","Dylan Windler","CLE","Belmont","College/University","1629685.0","1610612739.0","Cleveland Cavaliers","Cleveland","Cavaliers","1.0","COL",""
"2019.0","27.0","1.0","27.0","Mfiondu Kabengele","BKN","Florida State","College/University","1629662.0","1610612751.0","Brooklyn Nets","Brooklyn","Nets","1.0","COL",""
"2019.0","28.0","1.0","28.0","Jordan Poole","GSW","Michigan","College/University","1629673.0","1610612744.0","Golden State Warriors","Golden State","Warriors","1.0","COL",""
"2019.0","29.0","1.0","29.0","Keldon Johnson","SAS","Kentucky","College/University","1629640.0","1610612759.0","San Antonio Spurs","San Antonio","Spurs","1.0","COL",""
"2019.0","30.0","1.0","30.0","Kevin Porter Jr.","MIL","Southern California","College/University","1629645.0","1610612749.0","Milwaukee Bucks","Milwaukee","Bucks","1.0","COL",""
"2019.0","31.0","2.0","1.0","Nicolas Claxton","BKN","Georgia","College/University","1629651.0","1610612751.0","Brooklyn Nets","Brooklyn","Nets","1.0","COL",""
"2019.0","32.0","2.0","2.0","KZ Okpala","PHX","Stanford","College/University","1629644.0","1610612756.0","Phoenix Suns","Phoenix","Suns","1.0","COL",""
"2019.0","33.0","2.0","3.0","Carsen Edwards","PHI","Purdue","College/University","1629035.0","1610612755.0","Philadelphia 76ers","Philadelphia","76ers","1.0","COL",""
"2019.0","34.0","2.0","4.0","Bruno Fernando","PHI","Maryland","College/University","1628981.0","1610612755.0","Philadelphia 76ers","Philadelphia","76ers","1.0","COL",""
"2019.0","35.0","2.0","5.0","Marcos Louzada Silva","ATL","Sesi Franca","Other Team/Club","1629712.0","1610612737.0","Atlanta Hawks","Atlanta","Hawks","0.0","PRO","Brazil"
"2019.0","36.0","2.0","6.0","Cody Martin","CHA","North Carolina State","College/University","1628998.0","1610612766.0","Charlotte Hornets","Charlotte","Hornets","1.0","COL",""
"2019.0","37.0","2.0","7.0","Deividas Sirvydis","DAL","BC Lietuvos rytas","Other Team/Club","1629686.0","1610612742.0","Dallas Mavericks","Dallas","Mavericks","1.0","PRO","Lithuania"
"2019.0","38.0","2.0","8.0","Daniel Gafford","CHI","Arkansas","College/University","1629655.0","1610612741.0","Chicago Bulls","Chicago","Bulls","1.0","COL",""
"2019.0","39.0","2.0","9.0","Alen Smailagic","NOP","Santa Cruz","Other Team/Club","1629346.0","1610612740.0","New Orleans Pelicans","New Orleans","Pelicans","1.0","PRO","G League"
"2019.0","40.0","2.0","10.0","Justin James","SAC","Wyoming","College/University","1629713.0","1610612758.0","Sacramento Kings","Sacramento","Kings","1.0","COL",""
